ph,turbidity,solids,chloramines,sulfate,conductivity,organic_carbon,hardness,temperature,dissolved_oxygen,potability
7.218,2.161,7252.078,4.436,317.965,359.64,6.562,122.361,18.217,6.824,1
7.545,3.077,16800.815,7.683,110.171,447.577,24.641,141.164,20.117,7.771,0
6.946,5.042,8303.046,2.635,222.759,437.208,8.22,172.523,18.504,5.742,1
8.554,3.789,15170.858,2.667,416.557,174.543,18.221,106.085,20.016,9.041,0
6.644,5.711,28005.636,6.283,237.789,449.459,16.223,141.509,17.518,9.676,0
8.232,1.588,24606.042,4.27,259.66,368.6,8.407,248.386,25.419,5.42,0
6.456,7.106,21804.855,6.071,225.348,355.283,15.198,143.564,20.199,7.066,0
7.04,7.732,16319.469,7.08,389.483,269.741,10.269,232.948,23.063,10.808,1
6.028,0.467,11041.634,6.023,244.206,399.553,13.737,224.922,24.765,9.379,1
7.555,0.745,18715.68,3.836,158.594,342.238,13.165,180.736,14.999,4.496,1
8.545,3.025,24719.393,7.666,460.0,557.823,10.928,111.959,26.443,9.501,1
7.023,2.038,20164.165,6.584,148.123,195.068,10.554,193.488,24.215,2.0,0
6.903,2.291,7193.01,5.154,256.723,289.329,14.034,73.905,24.221,8.506,1
5.985,3.765,18179.971,5.057,193.447,281.204,8.433,160.91,22.227,5.858,0
6.871,5.861,5063.367,5.848,205.364,436.039,8.603,203.379,21.436,8.228,1
5.507,1.52,22727.195,4.476,174.914,545.775,16.797,237.825,23.312,7.844,0
6.187,6.507,12995.45,1.838,219.101,465.375,14.428,181.654,23.555,7.641,0
7.327,1.791,9549.711,6.6,348.643,273.642,6.62,156.562,16.155,8.454,1
8.419,11.555,22816.549,6.481,103.331,353.492,7.985,152.159,32.137,6.507,0
9.7,7.14,21135.956,0.5,372.169,307.899,2.886,164.243,18.965,6.322,0
6.513,1.94,19010.593,6.121,357.514,465.928,16.594,224.327,23.387,9.075,1
8.535,0.993,31746.102,8.613,308.27,351.052,15.599,209.255,29.758,7.41,0
7.344,1.905,21627.499,2.845,275.724,235.464,7.601,188.789,21.018,6.375,1
6.949,1.702,13307.78,4.953,288.514,475.165,15.423,224.652,24.374,7.079,1
7.533,4.631,20874.825,4.736,385.99,556.591,21.435,190.029,10.291,6.923,0
7.162,0.48,15640.497,8.421,116.608,383.559,5.573,116.584,11.506,6.777,1
7.21,0.754,25733.932,7.342,326.82,419.448,9.732,128.932,22.852,8.198,1
6.692,4.543,19326.352,3.343,201.575,224.244,5.475,223.092,24.099,5.834,0
5.702,1.644,19969.501,5.784,335.189,157.891,16.768,114.431,29.416,10.137,0
5.556,2.183,8124.605,9.705,212.844,183.11,12.068,169.046,27.647,7.803,0
7.753,5.306,17898.786,3.851,325.084,399.633,10.709,183.722,13.766,4.095,0
6.823,6.033,17134.272,5.078,133.379,368.047,13.523,133.165,30.356,7.895,0
6.504,6.918,10842.613,6.127,121.131,470.548,9.994,98.274,16.095,5.725,0
7.109,5.014,16060.24,3.88,255.39,381.282,10.693,125.388,28.004,7.35,1
7.895,2.674,20332.391,8.626,387.02,523.531,13.736,90.465,20.38,7.126,0
7.28,2.511,17471.728,4.155,310.584,509.672,9.755,223.64,38.0,8.62,1
6.444,2.296,8321.352,2.322,309.975,366.305,10.39,211.861,19.576,8.599,1
8.326,1.131,15724.091,4.05,338.116,284.587,11.796,148.22,22.571,7.798,1
8.679,1.469,14457.839,6.406,231.257,175.061,12.911,114.796,23.918,10.837,1
7.595,6.341,18757.838,3.504,316.914,577.028,15.207,254.146,21.593,6.095,0
8.074,1.781,18055.962,5.704,215.728,291.897,15.125,214.219,17.216,9.858,1
8.342,1.137,14824.515,6.225,238.309,225.428,5.752,155.843,35.784,9.908,1
8.23,6.687,14570.688,2.682,248.863,420.583,18.836,255.292,19.458,8.007,0
7.714,3.606,17936.947,3.973,218.63,226.495,12.766,197.568,19.25,8.226,1
7.698,8.836,23759.349,5.798,259.386,420.462,11.008,207.491,22.365,9.111,0
7.62,8.241,19311.163,6.505,243.363,364.643,8.434,132.691,24.121,6.832,0
6.003,1.227,26749.951,4.022,204.848,515.841,21.451,106.607,19.028,6.489,0
7.801,2.882,24865.741,5.404,253.049,505.404,23.119,103.646,28.53,6.583,0
5.744,1.378,27228.436,4.532,278.198,537.399,20.898,304.567,23.886,7.926,0
6.305,1.368,26396.08,6.556,171.512,429.751,13.046,144.483,23.117,6.556,1
8.404,2.246,27659.172,6.139,300.484,301.999,14.048,193.585,26.237,6.1,0
7.94,4.723,10004.572,4.353,223.037,280.574,19.21,215.279,18.078,5.536,0
8.587,4.741,21708.271,6.057,281.847,341.316,11.417,188.855,19.607,5.629,0
6.828,4.352,25419.084,4.275,208.45,644.313,14.936,181.516,22.872,6.249,0
5.948,2.668,26593.678,6.015,354.292,375.097,13.522,180.29,28.394,6.29,1
6.86,4.913,12490.328,6.043,346.27,424.322,21.134,216.397,21.585,7.593,1
7.202,1.122,21772.973,9.842,175.802,587.231,18.963,132.811,21.161,6.003,0
7.179,3.647,17988.82,4.427,309.625,435.554,11.879,165.77,10.771,8.285,0
8.234,3.148,29505.892,4.817,387.933,315.162,19.363,63.294,18.978,10.942,0
6.739,2.55,8482.604,3.806,184.405,492.619,12.483,87.532,13.427,9.649,1
7.452,3.746,12499.618,3.034,191.139,353.583,10.044,118.607,14.871,5.49,1
6.111,1.401,5730.88,4.187,327.48,439.695,11.216,236.956,25.121,6.862,1
7.55,4.47,18440.006,6.43,153.89,466.459,13.163,175.001,38.0,5.113,0
7.103,3.09,32214.962,6.575,198.911,345.683,8.967,228.357,24.127,7.751,0
6.35,0.825,17211.779,5.691,178.753,427.365,10.171,211.169,24.93,7.855,1
6.864,3.039,18156.717,4.508,328.536,597.006,6.005,204.305,18.589,7.713,1
6.916,2.054,21076.552,4.113,206.143,329.816,8.799,138.075,16.919,5.511,1
6.83,6.445,16744.112,3.266,240.809,563.027,13.555,194.122,34.926,6.231,0
8.871,1.196,19879.169,3.986,201.392,334.14,17.19,203.996,18.329,9.12,0
7.002,1.235,20049.376,2.51,362.624,621.248,16.613,311.037,11.401,8.114,0
6.856,4.084,12003.882,7.816,191.952,302.342,14.434,170.969,24.424,5.837,0
5.003,2.747,16888.696,8.774,145.354,357.737,5.618,230.272,20.507,5.089,0
6.206,2.65,22322.564,1.228,142.023,585.991,8.625,183.187,26.456,7.269,0
6.837,11.597,23535.745,5.679,323.961,591.268,11.612,151.376,32.092,7.179,0
6.414,4.833,25940.261,5.645,330.099,503.211,16.833,237.824,25.14,5.085,0
8.482,2.405,19680.334,5.518,371.127,275.178,9.994,294.037,24.316,6.845,0
6.935,0.727,19812.607,3.915,157.817,414.889,7.011,204.41,26.826,6.528,1
8.388,2.302,22376.202,7.145,245.347,405.15,19.017,152.433,38.0,6.343,0
7.162,1.09,13633.994,5.921,460.0,302.302,9.193,215.712,36.215,6.63,0
7.137,1.478,13367.436,7.168,239.303,488.62,7.425,205.368,21.167,7.894,1
7.011,1.521,16688.814,3.625,217.11,311.797,13.523,311.908,28.509,7.561,1
7.104,6.112,9212.385,2.334,263.214,250.129,12.275,230.819,33.359,9.659,1
8.819,0.892,20144.855,5.97,310.046,210.496,10.249,138.653,27.022,7.756,0
4.78,5.712,24319.033,3.174,308.625,610.475,12.502,260.108,22.615,8.849,0
5.098,4.213,12884.716,7.209,212.773,343.742,8.333,232.645,20.113,5.018,0
6.557,4.17,20328.47,0.847,215.272,346.259,10.198,241.447,23.572,7.673,1
7.115,1.428,13410.648,4.163,239.801,281.32,12.337,214.469,16.389,6.73,1
7.79,5.215,10892.259,3.868,202.943,569.151,3.339,245.457,28.193,8.703,0
7.573,1.289,30861.147,4.435,160.045,239.37,16.798,214.234,31.067,7.857,1
6.716,7.812,10985.485,5.622,418.676,260.504,6.322,176.009,20.698,10.235,0
8.119,6.207,9184.424,5.892,230.411,366.381,8.275,197.382,20.387,5.723,0
8.13,8.691,18895.65,6.379,235.229,402.412,17.001,183.623,16.874,6.12,0
7.284,3.16,19245.39,6.61,237.878,484.036,15.062,208.776,25.708,8.014,1
8.063,2.746,21837.009,4.757,258.157,323.929,12.893,194.369,22.937,7.166,1
7.373,2.254,30507.982,9.317,301.955,590.32,4.813,172.698,14.628,5.702,0
6.539,11.439,12448.656,7.874,225.459,324.745,9.774,180.012,38.0,8.072,0
7.798,4.694,13740.161,4.476,361.845,283.97,11.527,189.802,12.686,6.509,1
7.211,1.101,27957.236,4.826,315.814,272.547,11.854,92.041,14.649,8.211,1
7.101,7.233,23604.304,4.434,248.774,312.133,17.636,246.344,28.449,4.34,0
8.573,2.668,22700.529,5.827,208.37,264.775,21.474,209.136,26.811,6.872,0
4.649,0.206,13665.853,3.156,357.219,495.109,15.267,156.368,18.857,7.682,0
5.682,1.697,24818.273,3.521,251.226,284.899,10.095,222.516,18.483,7.705,0
5.913,6.204,22720.688,0.765,159.366,389.061,17.965,162.054,25.656,8.658,0
6.737,4.223,18731.992,4.303,351.79,281.454,9.847,162.052,25.193,6.96,1
6.845,4.813,13697.969,7.23,203.262,264.065,1.5,210.605,18.917,8.206,1
5.593,7.186,18193.521,4.796,338.823,537.784,6.877,268.684,28.764,7.275,0
6.115,0.606,28215.165,4.908,80.0,597.333,1.826,205.393,26.317,8.72,0
6.239,1.714,10389.21,5.656,233.664,557.28,10.773,147.327,30.752,4.632,0
9.557,3.212,12301.306,3.096,363.597,228.44,11.698,170.65,22.711,2.712,0
8.902,6.327,13419.284,5.151,265.436,245.09,5.333,236.698,27.699,9.657,0
6.688,1.283,14829.662,6.881,315.841,642.405,8.656,212.235,21.676,6.377,1
6.736,2.393,17397.712,5.713,188.336,374.48,6.081,242.771,26.138,4.334,0
5.951,3.065,23730.712,7.056,294.555,240.025,11.928,211.64,25.075,7.111,1
5.192,1.645,20499.192,7.628,265.319,534.868,8.659,232.396,27.919,6.467,0
6.983,3.04,17895.467,6.425,285.683,413.086,17.045,300.715,26.013,8.064,1
6.102,2.736,19300.458,3.673,438.339,473.34,13.264,115.622,12.045,8.286,0
7.015,2.015,21555.941,4.412,375.89,136.453,19.722,322.393,19.366,6.649,1
5.5,5.206,6568.911,8.963,332.319,365.847,10.454,241.507,23.482,9.072,0
6.338,4.589,24465.297,5.728,333.393,518.856,22.15,334.373,25.705,5.22,0
7.249,5.364,12128.316,5.462,187.722,328.157,12.511,135.921,27.784,3.169,0
7.466,5.684,14617.183,3.38,224.946,553.2,10.122,211.035,26.182,7.666,1
7.517,8.383,19712.83,4.917,134.731,246.989,23.339,198.766,18.913,6.936,0
5.78,0.794,17009.862,6.533,157.085,391.49,4.272,238.595,28.325,3.99,0
7.955,0.884,20665.048,5.13,189.645,602.391,10.013,215.837,18.308,8.497,1
6.3,4.911,18421.881,4.061,262.524,266.897,5.007,209.675,30.327,4.343,0
7.733,2.165,15619.34,4.525,160.874,437.577,4.228,232.841,30.714,7.198,1
7.089,1.954,27436.928,7.484,261.671,475.212,3.198,184.125,22.941,8.78,1
5.724,1.725,22102.426,6.436,251.907,415.968,15.275,161.629,19.241,7.862,0
6.784,5.49,19463.763,6.168,168.591,374.994,6.519,214.929,18.963,7.761,1
7.465,10.977,22001.379,5.982,394.675,299.842,11.354,161.52,16.655,6.546,0
7.713,5.664,12915.358,2.734,152.415,428.586,16.514,183.096,17.649,7.703,1
6.959,2.089,31636.016,5.645,359.973,392.681,14.585,110.739,21.953,8.315,1
8.632,5.304,10430.358,7.236,80.0,232.645,14.363,193.076,19.755,6.24,0
8.108,0.858,18235.596,4.578,252.91,536.982,17.962,138.925,13.663,5.364,0
6.843,2.594,15638.229,7.055,163.202,295.794,19.742,188.186,20.195,8.819,1
7.85,0.607,15391.307,6.19,209.371,235.762,6.867,130.268,23.539,10.733,1
9.034,2.168,14547.331,6.755,418.863,333.518,14.674,188.937,21.033,10.09,0
9.06,3.47,12483.885,5.202,235.508,297.874,11.275,239.484,17.809,2.672,0
5.872,12.287,25224.224,6.873,171.113,374.011,11.84,157.229,9.131,9.653,1
6.173,6.665,9669.432,2.171,306.449,255.906,5.698,138.669,29.644,6.258,0
8.585,0.62,23893.165,5.166,234.762,458.757,10.106,232.99,22.77,10.641,1
6.042,0.685,21715.495,6.526,277.811,570.726,10.598,240.23,24.86,5.531,0
5.777,1.654,15024.208,5.693,187.271,417.704,18.936,213.316,24.049,5.369,0
6.614,9.404,20961.947,7.291,191.457,231.686,7.301,164.4,25.885,7.31,1
7.52,0.651,16473.656,4.786,198.047,295.414,1.765,155.367,24.395,6.677,1
6.998,1.736,10343.459,4.005,332.867,431.554,12.473,171.768,23.572,6.766,1
6.449,1.728,10412.181,1.822,245.719,168.966,6.845,186.746,27.427,9.098,1
6.426,4.078,21760.37,4.554,175.898,257.066,11.872,95.102,28.672,9.626,0
6.388,5.396,21423.207,6.134,278.755,207.3,15.473,135.927,31.023,5.701,0
6.22,4.62,19073.074,6.622,271.756,418.852,12.051,258.798,18.175,10.353,1
9.382,3.684,14955.142,2.302,313.756,664.462,10.559,201.409,24.447,5.185,0
7.398,0.824,16262.195,7.451,224.047,253.681,11.795,257.484,13.689,6.312,1
7.987,3.282,15383.904,3.151,258.406,502.96,16.313,245.862,20.208,11.96,1
6.611,7.321,6144.863,4.858,300.843,337.335,7.304,172.815,21.858,8.065,1
6.914,8.958,17898.146,3.962,179.205,246.579,15.778,173.646,27.297,6.217,0
6.386,4.002,20895.957,5.934,340.329,592.695,7.98,243.161,22.317,7.875,0
4.5,0.627,17939.457,5.288,266.398,664.181,15.209,231.726,26.902,8.67,1
5.722,4.05,28999.47,6.456,171.414,454.424,5.556,244.308,20.998,8.007,0
5.289,2.729,10970.346,8.788,170.784,448.501,14.941,189.256,19.649,9.705,0
4.85,0.734,13202.826,5.896,256.551,412.472,12.042,197.842,18.348,5.843,0
5.905,1.217,18364.623,3.947,218.231,387.21,12.934,175.944,27.006,6.223,1
8.425,1.428,19084.484,6.022,329.142,445.809,16.815,187.059,20.805,5.798,0
7.056,4.923,5142.144,8.99,240.626,486.134,8.805,152.29,8.926,5.905,0
8.391,8.713,21417.537,6.413,290.759,604.601,12.387,185.887,26.687,7.476,0
7.511,4.415,19114.059,6.991,192.867,342.272,13.865,181.199,17.61,5.485,0
7.883,5.031,3723.946,1.913,263.045,420.286,11.154,164.769,24.121,7.923,1
6.199,2.876,16741.39,5.874,376.821,394.386,15.726,233.513,16.451,8.539,0
7.624,1.93,12244.48,4.564,252.409,527.887,13.984,112.437,23.085,5.199,1
7.829,4.5,14553.399,3.74,217.998,693.01,9.89,208.559,6.352,6.266,1
6.523,3.719,8802.345,5.055,191.577,532.028,18.173,139.307,22.805,6.481,0
7.66,1.544,20205.226,5.317,263.405,500.789,15.029,143.368,17.924,7.005,1
7.666,3.543,28951.546,3.851,384.792,513.945,8.708,148.082,15.647,7.104,0
6.55,3.019,19222.653,5.477,149.094,557.091,8.663,215.896,27.432,9.03,0
5.977,2.379,3464.003,4.753,260.757,694.734,11.512,65.83,22.312,9.163,0
5.916,1.875,19356.374,6.505,119.321,202.754,14.514,199.279,21.584,5.945,0
7.187,3.999,16234.848,5.555,230.114,476.951,2.54,192.5,18.799,8.645,1
7.427,1.976,10343.419,5.852,287.335,110.0,8.898,136.641,28.188,9.875,1
6.307,10.986,19798.555,7.059,130.668,519.162,9.901,200.022,20.479,9.577,0
7.127,4.312,23218.471,6.21,227.191,471.125,6.031,123.271,31.629,7.769,1
7.671,4.047,13154.792,5.088,289.694,339.381,7.902,187.593,30.131,7.302,1
7.718,2.648,6815.737,0.926,276.147,110.0,13.118,121.196,31.267,4.873,0
8.652,2.219,4424.13,6.127,293.811,403.273,10.3,302.768,28.614,6.656,0
8.377,0.48,13173.047,3.276,182.159,431.741,10.654,237.377,19.484,4.711,1
6.099,1.634,16489.227,4.928,289.659,397.427,6.296,203.556,23.304,9.452,1
8.784,0.612,14145.964,5.842,213.999,330.429,11.539,137.465,21.822,6.925,1
6.569,0.603,13058.666,7.766,325.692,297.385,5.732,174.846,27.861,7.244,1
8.145,1.056,21191.347,8.785,80.0,398.786,19.066,177.119,22.939,6.289,0
7.168,6.82,20508.369,3.258,240.383,308.775,20.345,203.305,21.589,4.861,0
6.688,6.798,18797.357,2.468,273.405,502.116,10.371,211.92,32.617,8.683,1
5.292,1.666,22807.171,5.751,379.702,395.556,7.449,202.368,21.101,8.304,0
6.928,0.805,13234.002,5.585,272.378,198.04,16.346,208.827,19.378,9.08,0
5.541,2.14,10385.365,2.696,281.004,426.204,15.166,180.658,20.669,4.246,0
8.067,4.888,14104.831,5.067,296.917,454.703,20.936,208.835,29.213,9.774,1
8.617,5.911,13656.532,6.295,371.512,599.159,22.135,154.914,24.089,7.174,0
6.303,3.506,4166.619,2.64,232.539,516.377,3.379,131.508,25.659,8.799,1
7.402,3.964,13953.804,3.111,145.736,297.157,17.714,291.633,24.369,2.656,0
6.375,3.693,24681.529,3.812,129.463,576.099,11.499,212.88,10.281,8.138,0
6.472,0.66,22705.547,4.675,321.457,238.676,14.971,289.335,16.801,7.268,1
7.874,0.885,20913.695,6.488,283.973,408.38,16.0,174.889,21.383,7.003,1
7.061,8.948,18355.517,4.447,243.211,495.488,15.812,322.589,24.826,7.223,0
8.84,3.494,26917.84,5.211,215.182,580.043,17.002,194.378,17.291,6.327,0
6.618,0.355,10608.909,9.592,280.371,631.668,9.979,253.028,17.112,4.858,0
8.099,4.134,11228.624,3.187,282.826,557.967,8.212,191.807,21.189,5.124,0
7.197,1.369,24807.919,3.794,305.786,388.606,17.841,199.071,30.692,7.448,1
7.896,6.234,17679.432,6.456,170.763,474.561,8.577,183.664,10.513,9.761,1
6.653,5.792,13137.341,7.076,115.034,431.928,20.876,162.896,7.621,9.392,0
7.05,4.702,21087.51,5.93,187.35,319.868,9.06,243.913,33.065,7.815,0
6.985,3.465,14649.965,8.718,150.154,391.125,10.786,189.513,14.124,6.52,1
6.264,7.262,12056.084,5.735,145.751,620.738,11.643,235.674,20.649,11.114,0
7.762,7.756,11875.213,1.148,398.428,482.539,5.565,239.709,14.296,8.626,0
7.75,1.4,19590.071,5.294,80.0,652.124,5.578,267.789,21.245,8.47,0
7.694,4.667,18837.801,3.958,304.925,275.1,16.604,213.164,22.21,5.002,0
8.637,1.892,27358.854,7.868,342.095,359.213,4.76,106.897,32.342,7.86,0
8.549,1.226,15614.42,7.029,348.934,454.831,23.838,172.389,27.18,5.172,0
6.725,7.751,15503.529,1.921,288.565,494.083,12.076,188.614,15.558,11.147,1
7.473,5.194,26857.618,7.801,377.192,390.986,7.868,190.683,11.934,5.886,0
6.476,3.676,23906.704,6.979,416.589,501.06,14.391,262.512,25.898,6.308,0
7.123,1.522,18441.839,4.451,239.31,500.155,1.5,252.492,19.986,6.231,1
6.5,7.902,7353.417,4.943,303.035,238.449,10.999,182.03,18.806,6.734,0
8.72,1.351,12222.944,7.884,373.442,495.413,11.576,323.655,29.872,8.607,0
7.464,1.091,10648.384,1.157,191.733,533.792,6.802,170.814,12.813,7.405,1
6.882,3.026,17736.937,5.991,244.183,440.539,9.657,175.277,20.875,7.476,1
8.294,4.888,14195.783,7.287,211.805,184.205,19.367,129.918,26.659,8.694,0
4.929,2.311,27918.882,4.923,304.183,371.78,13.325,104.246,16.154,4.669,0
5.086,12.5,7285.658,6.396,103.662,457.553,14.298,125.096,30.529,8.747,0
7.896,3.424,9951.292,5.306,387.113,301.115,8.959,245.745,17.132,7.642,1
7.16,1.886,19090.087,3.532,310.373,515.197,6.545,230.783,22.592,6.135,1
7.35,2.065,20889.334,3.482,315.145,492.551,11.415,141.405,18.979,7.637,1
5.774,9.613,1800.0,6.524,80.0,421.138,1.5,195.493,7.107,7.604,0
7.077,2.815,6219.834,3.829,176.588,407.093,7.564,234.356,20.561,2.677,1
9.104,7.573,15786.576,2.051,391.69,428.146,6.864,78.165,27.595,9.875,0
7.924,0.58,26314.284,5.345,249.921,404.513,3.326,287.472,17.0,9.576,1
7.27,6.319,29770.446,4.074,118.455,250.742,15.421,247.89,19.356,5.049,0
6.661,1.587,14805.766,2.702,283.838,353.387,11.913,234.578,20.005,6.04,1
6.705,5.281,16390.795,5.243,322.728,413.697,9.711,256.114,26.109,9.837,1
4.971,1.576,12060.373,6.635,310.177,575.232,15.52,77.715,20.913,8.596,0
7.358,2.186,21615.842,5.14,252.216,488.045,5.101,177.979,23.134,8.1,1
7.945,1.193,27435.442,2.968,361.523,581.678,6.454,259.21,23.21,8.185,0
5.524,5.351,25664.135,6.064,205.329,236.405,17.528,189.613,19.964,8.073,1
6.439,5.937,17311.496,7.17,310.908,362.259,22.766,230.847,32.8,5.483,0
5.943,1.632,12049.544,9.526,276.476,653.863,15.579,269.65,17.053,6.384,0
6.135,0.751,17553.281,7.984,253.688,315.844,14.622,228.699,27.077,9.195,1
7.153,7.501,26475.114,3.089,232.785,313.449,9.882,175.826,30.4,8.581,0
5.016,1.802,14896.639,6.816,235.795,372.389,9.985,221.664,22.198,7.911,0
7.714,2.703,5699.711,5.613,267.742,647.173,13.523,98.095,23.353,6.234,0
7.854,1.389,15159.94,2.796,240.119,324.417,18.678,216.969,26.076,9.181,1
6.849,5.0,15686.333,5.668,327.311,471.898,14.419,231.23,20.847,5.66,0
4.619,5.087,5661.562,8.937,219.441,452.044,16.811,198.302,12.003,10.066,0
6.104,8.333,19008.243,7.492,398.305,173.581,8.377,253.884,21.554,6.094,0
8.333,6.444,20789.03,3.073,215.643,403.119,15.276,205.325,32.546,5.831,1
4.5,6.148,29589.302,5.127,343.207,338.649,9.479,198.082,26.299,7.454,0
6.752,2.898,8839.55,6.083,346.873,486.357,13.131,290.778,23.447,7.783,0
5.92,2.632,22248.389,1.64,279.098,613.688,15.271,137.319,27.386,7.575,1
7.905,4.952,23784.435,1.709,271.525,363.654,10.109,266.567,22.163,5.019,0
6.425,2.775,20877.536,5.409,203.038,363.649,7.923,262.213,23.171,8.159,0
7.504,6.594,10955.789,5.435,221.049,707.139,14.132,236.491,20.499,9.163,1
7.665,1.313,10577.977,1.422,283.682,319.615,11.894,167.752,25.77,7.254,1
8.936,0.567,18131.779,5.876,261.163,243.84,13.113,208.848,19.89,4.617,0
6.897,4.554,18086.155,7.274,365.562,570.309,15.457,145.764,21.171,7.02,0
7.476,1.994,13863.68,4.663,226.36,398.924,18.383,159.084,28.098,5.361,1
5.615,1.138,25895.641,5.22,231.505,438.998,15.485,197.229,21.873,3.923,0
8.29,11.805,14895.115,6.243,123.498,672.781,14.894,141.401,26.278,6.413,0
6.339,3.105,5190.945,5.978,319.7,236.643,10.248,177.167,26.758,10.323,1
6.539,0.908,16043.633,1.763,312.024,381.545,10.939,129.39,22.555,7.251,1
7.078,1.803,20621.777,3.29,348.052,256.648,14.545,225.911,20.973,6.909,0
5.537,2.461,19722.747,4.308,352.842,445.222,10.865,279.917,15.345,8.678,0
7.329,4.488,19672.447,3.378,332.06,338.64,14.527,310.831,16.641,8.5,1
8.067,1.811,27210.929,8.034,335.645,264.247,8.83,133.156,26.533,4.762,0
7.393,2.735,10253.861,6.369,316.856,492.873,21.182,142.82,26.426,10.764,1
5.511,3.769,14745.896,2.881,329.948,406.239,13.372,187.251,17.259,7.756,1
6.976,4.289,27542.851,4.671,108.433,254.804,13.076,235.229,25.299,9.032,1
7.842,2.89,4712.226,7.361,171.518,262.156,10.328,184.94,24.255,6.329,0
5.222,9.513,17150.986,3.808,157.629,429.937,21.109,249.265,28.426,3.881,0
6.025,5.037,25487.987,6.803,372.965,204.507,6.86,225.536,35.56,7.19,0
7.977,4.845,25391.106,7.866,198.448,432.298,9.336,99.04,26.334,5.416,0
7.37,4.722,21790.756,7.532,212.057,565.747,16.341,199.319,18.993,9.508,1
7.512,6.628,21955.355,5.461,265.566,485.047,13.578,128.121,27.312,4.849,1
8.959,3.588,10733.35,7.602,159.287,330.201,9.905,165.175,16.957,7.448,0
7.569,1.293,26425.651,4.056,297.346,437.921,10.034,173.594,35.884,8.479,1
7.758,4.144,9699.599,10.072,83.917,254.811,11.191,237.011,15.887,8.165,0
9.7,4.524,10087.315,5.582,164.913,421.354,12.96,194.612,25.543,6.498,0
6.886,7.329,20021.182,7.394,281.899,365.778,19.491,170.592,23.011,4.196,0
6.302,1.178,14295.406,4.376,159.461,280.278,15.223,311.493,20.601,4.687,0
7.528,1.453,18843.529,6.099,375.425,479.846,17.105,147.054,20.236,6.037,0
7.539,3.181,20299.986,6.187,268.934,167.703,10.546,212.021,30.898,4.862,0
6.573,4.816,29057.713,3.242,361.226,262.702,14.821,232.876,26.285,7.264,0
6.068,0.985,20319.21,3.183,295.423,277.13,5.503,205.396,22.116,6.027,1
9.41,1.208,13479.527,4.691,263.986,344.423,13.32,146.734,33.047,5.073,0
7.427,5.631,21897.172,7.311,180.292,560.92,13.031,143.926,22.312,4.839,0
6.368,1.025,12093.598,1.437,343.977,495.511,20.696,230.253,27.262,4.535,1
8.016,1.471,23435.511,4.374,302.507,417.637,19.509,253.602,15.226,7.298,0
6.991,5.877,17920.081,7.72,442.195,411.98,11.337,193.229,15.536,6.079,1
6.847,4.767,20103.535,2.636,335.414,403.589,8.823,123.643,27.117,7.446,1
7.662,1.827,5925.749,7.608,231.221,569.619,8.946,196.664,24.787,7.261,1
5.808,4.389,2870.154,2.844,289.601,187.117,11.174,279.416,35.451,7.034,0
7.453,3.811,7740.742,3.267,300.882,497.587,18.358,140.763,18.909,8.565,1
9.013,2.804,28847.511,4.806,363.851,344.017,14.367,178.627,26.919,4.748,0
7.566,2.265,10036.994,8.847,377.359,465.359,14.831,199.284,21.575,8.575,1
6.724,4.268,22260.014,3.82,251.232,465.933,16.15,255.946,27.92,8.107,0
6.593,1.112,13327.599,1.634,161.681,492.989,8.026,166.965,27.459,7.044,0
6.69,4.233,15939.804,2.296,107.424,595.038,9.309,222.72,22.84,5.946,0
6.846,3.559,17209.318,6.964,168.138,240.476,14.841,272.597,18.705,7.471,0
6.722,3.747,28184.56,2.391,214.699,525.653,8.995,114.594,21.033,8.207,1
8.016,1.415,21299.286,7.476,392.869,397.337,5.631,123.979,16.546,4.88,0
5.367,7.452,20002.715,5.24,394.158,349.697,7.628,190.932,25.116,8.498,0
7.962,1.832,25928.54,5.035,346.614,649.051,17.245,250.006,6.708,10.53,0
6.72,2.078,13384.22,5.695,369.584,489.229,10.817,214.391,19.63,7.283,1
7.477,2.72,24444.229,3.498,204.872,354.935,13.516,254.919,28.244,9.746,1
5.973,4.76,23358.467,5.376,136.198,519.877,7.854,102.464,28.105,8.255,0
8.429,3.666,23284.346,2.714,179.445,399.473,14.207,215.105,13.65,7.874,0
8.346,0.723,16492.391,7.798,92.04,353.054,11.287,45.0,26.381,6.139,0
8.06,3.072,14657.453,3.045,170.314,332.27,14.508,269.064,16.381,6.786,0
5.585,3.266,11846.146,5.978,221.995,441.548,10.35,261.47,20.806,5.635,0
7.929,7.573,12253.315,3.03,279.17,331.335,14.769,178.016,27.443,9.098,0
7.505,2.43,11539.415,4.034,276.514,423.651,10.128,69.051,17.344,6.06,1
5.495,4.475,19884.51,4.352,206.381,511.442,12.139,184.591,31.276,10.572,0
7.076,12.5,16015.814,11.063,313.361,418.261,11.277,257.483,24.49,8.189,0
7.465,6.726,20304.101,5.071,208.013,642.18,12.618,218.839,25.684,8.109,0
7.656,1.347,20671.233,3.457,265.854,406.585,13.756,297.768,29.248,5.018,0
7.277,5.206,10611.586,4.211,170.652,566.885,10.273,179.768,28.165,8.598,1
7.391,4.246,10416.505,2.091,357.537,522.155,11.962,307.727,27.659,7.003,1
8.574,2.367,16013.708,4.774,266.771,588.036,13.339,84.828,19.185,6.385,0
8.326,5.247,12461.715,8.802,322.7,641.652,14.785,154.285,16.557,6.219,0
4.5,1.329,11777.321,5.772,161.624,193.64,12.158,124.787,21.363,5.166,0
