weather,visibility,road_type,lighting,traffic_density,speed_limit,time_of_day,accident_risk
Rain,8.138,Intersection,Night-lit,Medium,40,Evening,High
Rain,5.135,Rural,Dawn/Dusk,Very High,60,Night,High
Rain,6.001,Intersection,Night-lit,Medium,40,Night,High
Fog,1.665,Highway,Daylight,Low,100,Evening,High
Clear,5.623,Highway,Night-lit,Medium,40,Night,Medium
Drizzle,5.806,Highway,Night-lit,Low,60,Afternoon,Medium
Drizzle,2.479,Urban,Night-lit,Very High,50,Night,High
Fog,2.167,Urban,Dawn/Dusk,Medium,50,Night,High
Fog,3.557,Urban,Night-lit,Medium,80,Night,High
Rain,5.576,Urban,Night-lit,Medium,50,Night,Medium
Clear,5.584,Highway,Night-unlit,Very High,60,Afternoon,High
Fog,1.86,Highway,Dawn/Dusk,High,100,Morning,High
Rain,4.573,Highway,Night-lit,Medium,40,Morning,Medium
Clear,1.923,Urban,Daylight,High,30,Night,Medium
Clear,3.946,Intersection,Night-lit,High,100,Evening,High
Rain,8.325,Urban,Dawn/Dusk,Low,60,Night,High
Fog,4.019,Urban,Dawn/Dusk,Very High,50,Evening,High
Rain,4.399,Intersection,Daylight,Low,50,Afternoon,Medium
Clear,5.06,Highway,Dawn/Dusk,Very High,50,Night,Medium
Clear,6.08,Urban,Night-lit,Medium,40,Evening,Medium
Rain,3.212,Rural,Night-lit,Very High,80,Night,High
Rain,6.273,Urban,Dawn/Dusk,Very High,50,Morning,High
Drizzle,7.179,Urban,Night-lit,High,80,Morning,Medium
Clear,5.316,Intersection,Dawn/Dusk,Very High,80,Morning,High
Clear,10.0,Highway,Night-unlit,Low,80,Afternoon,Medium
Clear,2.185,Urban,Daylight,Low,80,Morning,Medium
Clear,2.711,Rural,Night-unlit,Medium,50,Morning,Medium
Rain,3.205,Urban,Daylight,Low,40,Evening,Medium
Fog,9.583,Intersection,Night-lit,Very High,40,Morning,High
Rain,3.856,Urban,Night-lit,Very High,50,Night,High
Drizzle,5.318,Highway,Daylight,High,40,Evening,Medium
Drizzle,5.078,Urban,Night-lit,High,80,Evening,High
Clear,2.666,Intersection,Night-lit,Low,50,Morning,Medium
Clear,7.777,Urban,Dawn/Dusk,Low,100,Evening,Medium
Rain,4.893,Highway,Dawn/Dusk,Very High,50,Afternoon,High
Clear,7.173,Urban,Daylight,Low,100,Evening,Medium
Drizzle,3.243,Urban,Daylight,Medium,50,Morning,Medium
Drizzle,4.957,Urban,Daylight,High,50,Night,Medium
Fog,7.458,Intersection,Dawn/Dusk,Medium,60,Night,High
Rain,5.353,Intersection,Daylight,Low,30,Afternoon,Low
Rain,2.226,Intersection,Night-lit,Very High,50,Evening,High
Clear,3.419,Intersection,Night-unlit,Very High,50,Morning,High
Clear,7.509,Urban,Daylight,Very High,80,Night,Medium
Rain,7.307,Intersection,Daylight,Low,80,Night,High
Drizzle,2.061,Urban,Night-lit,Medium,40,Morning,Medium
Drizzle,3.485,Rural,Dawn/Dusk,Low,80,Night,Medium
Rain,6.36,Intersection,Daylight,Medium,50,Evening,Medium
Drizzle,5.096,Urban,Dawn/Dusk,Medium,40,Morning,Medium
Clear,2.033,Intersection,Daylight,Very High,30,Morning,High
Clear,5.974,Urban,Night-unlit,Low,40,Night,Medium
Clear,8.116,Intersection,Daylight,High,30,Afternoon,Medium
Drizzle,5.179,Intersection,Daylight,Medium,40,Afternoon,Medium
Rain,3.754,Urban,Daylight,Medium,100,Afternoon,High
Fog,4.258,Intersection,Daylight,High,30,Afternoon,Medium
Clear,6.837,Urban,Night-lit,Very High,50,Afternoon,Medium
Clear,3.984,Rural,Dawn/Dusk,Very High,60,Night,Medium
Clear,3.867,Highway,Dawn/Dusk,Very High,50,Night,High
Clear,5.841,Urban,Night-unlit,High,80,Evening,High
Rain,6.389,Urban,Dawn/Dusk,High,60,Night,High
Rain,6.674,Intersection,Dawn/Dusk,Medium,100,Night,High
Clear,6.335,Intersection,Dawn/Dusk,High,60,Afternoon,Medium
Drizzle,7.263,Rural,Daylight,Medium,80,Morning,Medium
Clear,5.167,Highway,Daylight,Low,100,Afternoon,Medium
Storm,3.13,Urban,Night-lit,Medium,50,Evening,High
Clear,2.569,Highway,Night-lit,Low,30,Night,Medium
Drizzle,10.0,Urban,Dawn/Dusk,High,40,Evening,Medium
Clear,4.524,Highway,Night-lit,High,60,Evening,High
Clear,4.367,Rural,Daylight,Medium,80,Afternoon,Medium
Clear,7.096,Highway,Daylight,Medium,60,Evening,Medium
Clear,0.992,Rural,Daylight,Medium,80,Afternoon,Medium
Rain,2.75,Urban,Night-unlit,Medium,100,Night,High
Drizzle,6.653,Urban,Night-lit,High,40,Evening,Medium
Clear,7.092,Highway,Night-lit,Medium,30,Morning,Medium
Clear,5.505,Highway,Night-unlit,Medium,100,Evening,High
Clear,4.335,Urban,Night-unlit,High,60,Afternoon,Medium
Fog,0.911,Urban,Daylight,Very High,80,Evening,High
Clear,3.627,Intersection,Daylight,Low,50,Afternoon,Low
Clear,3.572,Urban,Night-lit,Low,80,Afternoon,Medium
Fog,4.642,Highway,Night-unlit,High,80,Evening,High
Rain,5.312,Intersection,Night-lit,Very High,100,Morning,High
Clear,4.698,Highway,Night-unlit,Medium,60,Afternoon,Medium
Fog,5.705,Urban,Daylight,Low,40,Evening,Medium
Rain,6.133,Rural,Night-lit,Very High,50,Afternoon,Medium
Drizzle,10.0,Urban,Night-unlit,High,100,Morning,High
Fog,2.224,Highway,Daylight,Very High,80,Morning,High
Clear,7.083,Urban,Daylight,Medium,30,Night,Medium
Clear,4.821,Urban,Night-lit,Low,60,Night,Medium
Clear,6.302,Highway,Dawn/Dusk,Medium,100,Afternoon,High
Rain,4.6,Urban,Daylight,Medium,40,Evening,Medium
Clear,3.705,Rural,Daylight,Low,50,Night,Medium
Drizzle,3.813,Urban,Daylight,Medium,50,Morning,Medium
Fog,9.457,Highway,Dawn/Dusk,Medium,100,Night,High
Rain,2.378,Highway,Daylight,Very High,30,Morning,High
Rain,7.206,Urban,Daylight,High,40,Afternoon,Medium
Rain,6.465,Highway,Night-unlit,High,80,Evening,Medium
Fog,5.43,Urban,Dawn/Dusk,High,50,Evening,High
Rain,6.064,Urban,Night-lit,Low,50,Afternoon,Medium
Storm,4.121,Urban,Dawn/Dusk,Medium,40,Afternoon,Medium
Drizzle,5.348,Urban,Night-lit,Very High,60,Morning,High
Rain,4.93,Highway,Dawn/Dusk,Low,30,Morning,High
Drizzle,2.341,Urban,Night-lit,Low,60,Evening,Medium
Clear,3.497,Highway,Night-unlit,Medium,30,Afternoon,Medium
Storm,5.31,Urban,Night-unlit,High,50,Afternoon,High
Clear,3.805,Highway,Night-lit,Very High,100,Afternoon,High
Rain,5.397,Highway,Night-lit,High,80,Afternoon,High
Clear,3.934,Highway,Night-unlit,Medium,60,Morning,Medium
Clear,3.465,Rural,Night-unlit,Medium,60,Night,High
Clear,5.063,Intersection,Night-lit,High,60,Night,Medium
Rain,4.835,Urban,Night-lit,Very High,80,Morning,High
Rain,5.947,Rural,Daylight,Low,60,Evening,Medium
Clear,4.483,Highway,Dawn/Dusk,Low,80,Night,Medium
Drizzle,9.064,Urban,Daylight,Low,30,Morning,Low
Clear,3.664,Intersection,Daylight,Very High,50,Afternoon,Medium
Drizzle,5.461,Rural,Daylight,Very High,60,Night,High
Storm,7.667,Intersection,Dawn/Dusk,Medium,50,Evening,High
Drizzle,3.906,Rural,Daylight,High,40,Night,Medium
Storm,9.062,Highway,Night-lit,Medium,50,Afternoon,Medium
Clear,2.75,Intersection,Daylight,Low,40,Night,Medium
Clear,7.883,Urban,Night-unlit,Low,50,Night,Medium
Clear,7.694,Intersection,Daylight,Medium,60,Night,Low
Clear,3.092,Highway,Night-lit,Low,60,Afternoon,Medium
Fog,6.756,Highway,Night-unlit,Medium,40,Night,High
Storm,5.579,Urban,Night-lit,Medium,40,Night,High
Rain,2.292,Intersection,Dawn/Dusk,Medium,50,Afternoon,High
Rain,6.748,Rural,Daylight,Medium,60,Morning,Low
Rain,7.162,Intersection,Daylight,Medium,80,Afternoon,High
Clear,3.192,Urban,Daylight,Medium,80,Afternoon,Medium
Storm,6.306,Urban,Daylight,Medium,50,Evening,High
Rain,5.582,Urban,Night-unlit,Very High,40,Night,High
Drizzle,6.241,Urban,Daylight,Medium,100,Evening,Medium
Rain,5.298,Highway,Daylight,High,60,Night,High
Rain,7.194,Highway,Night-unlit,Medium,30,Morning,Medium
Clear,6.234,Rural,Daylight,Very High,50,Evening,Medium
Rain,8.821,Rural,Night-lit,Medium,30,Afternoon,Medium
Clear,7.636,Urban,Daylight,Low,100,Morning,Medium
Clear,8.626,Highway,Dawn/Dusk,Medium,40,Night,Medium
Drizzle,4.953,Intersection,Daylight,Very High,60,Afternoon,Medium
Drizzle,3.45,Urban,Night-lit,Medium,80,Morning,High
Rain,6.989,Rural,Night-unlit,Very High,80,Afternoon,High
Clear,1.675,Urban,Night-lit,Low,100,Afternoon,Medium
Drizzle,3.472,Highway,Night-unlit,High,40,Evening,High
Fog,7.55,Highway,Daylight,Low,60,Night,Medium
Rain,4.621,Urban,Daylight,Medium,40,Morning,Medium
Clear,7.665,Intersection,Night-lit,High,40,Night,High
Storm,7.779,Urban,Daylight,Medium,50,Evening,High
Rain,6.634,Rural,Daylight,Medium,50,Morning,Medium
Drizzle,6.203,Highway,Daylight,High,100,Afternoon,Medium
Drizzle,4.384,Rural,Daylight,Low,50,Night,Medium
Fog,4.94,Highway,Daylight,Low,50,Afternoon,Low
Clear,3.746,Intersection,Night-unlit,Low,80,Evening,High
Rain,10.0,Intersection,Dawn/Dusk,Low,100,Night,High
Fog,5.019,Highway,Daylight,Low,60,Night,Medium
Rain,2.321,Urban,Daylight,Medium,80,Night,High
Rain,3.888,Highway,Night-unlit,High,60,Afternoon,High
Drizzle,1.798,Urban,Night-lit,High,60,Evening,High
Storm,3.881,Rural,Daylight,Medium,50,Afternoon,Medium
Clear,3.807,Urban,Night-lit,High,50,Afternoon,Medium
Clear,7.162,Urban,Night-lit,Medium,100,Afternoon,Medium
Clear,7.82,Urban,Night-lit,Very High,60,Evening,Medium
Clear,4.882,Highway,Night-lit,High,60,Morning,Medium
Fog,2.65,Urban,Daylight,Very High,40,Afternoon,High
Rain,8.193,Rural,Daylight,Medium,50,Evening,Medium
Clear,6.45,Highway,Night-unlit,Low,30,Afternoon,Medium
Drizzle,3.876,Urban,Daylight,Low,50,Morning,Medium
Clear,5.894,Intersection,Daylight,Medium,50,Evening,Medium
Rain,2.709,Intersection,Night-lit,Very High,40,Evening,High
Rain,6.543,Urban,Daylight,Medium,60,Afternoon,Medium
Clear,4.372,Highway,Night-unlit,Medium,30,Evening,Medium
Fog,6.253,Highway,Night-lit,High,80,Morning,High
Storm,6.281,Urban,Night-unlit,Medium,80,Morning,High
Storm,7.966,Urban,Daylight,Medium,50,Evening,High
Rain,6.112,Urban,Night-lit,Very High,30,Night,High
Storm,3.14,Urban,Night-unlit,Very High,50,Evening,High
Fog,1.454,Urban,Night-unlit,Low,80,Morning,High
Rain,2.955,Rural,Night-unlit,Medium,50,Evening,High
Clear,7.821,Highway,Night-lit,Very High,40,Afternoon,Medium
Clear,9.26,Urban,Night-unlit,High,60,Afternoon,Medium
Rain,6.149,Highway,Dawn/Dusk,Low,60,Evening,High
Clear,5.569,Urban,Night-lit,Low,50,Afternoon,Low
Rain,4.855,Highway,Dawn/Dusk,High,80,Morning,High
Rain,3.18,Intersection,Dawn/Dusk,High,80,Afternoon,High
Clear,2.982,Urban,Night-lit,High,60,Afternoon,Medium
Drizzle,2.764,Highway,Night-unlit,Medium,100,Morning,High
Clear,5.575,Urban,Daylight,Very High,50,Night,Medium
Rain,6.385,Highway,Dawn/Dusk,High,40,Afternoon,Medium
Fog,1.332,Urban,Night-lit,Medium,30,Afternoon,High
Clear,7.632,Urban,Night-unlit,Medium,60,Night,High
Drizzle,5.321,Urban,Night-lit,Medium,30,Afternoon,Medium
Drizzle,5.032,Urban,Daylight,Low,50,Morning,Low
Rain,6.2,Urban,Night-unlit,Very High,40,Night,High
Drizzle,5.34,Rural,Daylight,High,60,Night,Medium
Storm,4.375,Urban,Night-lit,Low,40,Afternoon,Medium
Drizzle,6.309,Intersection,Night-lit,High,50,Morning,Medium
Clear,5.278,Urban,Daylight,Medium,30,Morning,Low
Drizzle,4.496,Highway,Daylight,Medium,40,Morning,Medium
Rain,4.315,Rural,Daylight,Medium,60,Morning,Medium
Drizzle,3.849,Highway,Daylight,Very High,80,Afternoon,High
Rain,7.144,Highway,Dawn/Dusk,Low,30,Morning,Medium
Rain,4.959,Rural,Daylight,Low,80,Afternoon,Medium
Drizzle,8.366,Urban,Daylight,Low,60,Morning,Medium
Clear,6.48,Intersection,Night-unlit,Medium,80,Morning,High
Rain,4.749,Urban,Night-lit,Very High,100,Evening,Medium
Fog,6.175,Rural,Dawn/Dusk,Very High,50,Night,High
Drizzle,5.09,Urban,Dawn/Dusk,Very High,40,Morning,Medium
Drizzle,0.743,Intersection,Night-lit,Medium,60,Afternoon,High
Drizzle,3.416,Urban,Dawn/Dusk,Medium,40,Night,High
Storm,5.295,Urban,Dawn/Dusk,Low,60,Evening,High
Drizzle,0.478,Urban,Dawn/Dusk,Very High,50,Morning,High
Drizzle,4.902,Urban,Night-lit,High,40,Night,Medium
Drizzle,8.265,Intersection,Night-lit,Very High,100,Morning,High
Clear,8.134,Highway,Night-unlit,Medium,60,Night,High
Drizzle,4.751,Rural,Daylight,High,80,Afternoon,Medium
Clear,4.457,Highway,Daylight,Very High,50,Night,Medium
Clear,6.185,Rural,Night-lit,Medium,40,Evening,Medium
Clear,3.419,Urban,Daylight,Very High,50,Evening,Medium
Clear,7.376,Rural,Daylight,Low,50,Evening,Low
Rain,8.89,Urban,Dawn/Dusk,Medium,80,Afternoon,Medium
Clear,5.107,Urban,Daylight,High,60,Morning,Medium
Drizzle,3.066,Rural,Night-lit,Very High,50,Evening,High
Clear,4.365,Urban,Night-unlit,High,30,Night,Medium
Drizzle,3.674,Highway,Night-lit,Medium,50,Afternoon,Medium
Storm,5.999,Urban,Daylight,Medium,60,Afternoon,Medium
Rain,7.385,Urban,Night-unlit,Very High,50,Afternoon,High
Drizzle,9.563,Intersection,Night-lit,Medium,50,Evening,Medium
Clear,9.815,Urban,Night-unlit,Very High,50,Evening,High
Fog,3.762,Urban,Night-unlit,Medium,50,Evening,High
Drizzle,4.624,Intersection,Night-unlit,Very High,60,Morning,High
Clear,3.579,Intersection,Night-lit,Low,40,Evening,Medium
Storm,6.7,Rural,Daylight,High,50,Afternoon,Medium
Clear,5.177,Intersection,Daylight,High,60,Afternoon,Medium
Drizzle,4.352,Urban,Night-unlit,High,40,Evening,High
Drizzle,3.083,Urban,Daylight,Very High,60,Night,High
Clear,4.051,Highway,Dawn/Dusk,High,80,Afternoon,Medium
Drizzle,8.655,Intersection,Night-lit,Medium,100,Morning,High
Drizzle,10.0,Urban,Night-unlit,High,50,Morning,Medium
Drizzle,6.713,Urban,Night-lit,High,80,Afternoon,High
Fog,7.56,Highway,Daylight,Medium,80,Evening,High
Clear,6.855,Urban,Night-lit,Medium,50,Evening,Medium
Rain,3.031,Intersection,Dawn/Dusk,Low,80,Morning,High
Rain,4.577,Rural,Daylight,Medium,50,Morning,Medium
Clear,3.843,Intersection,Night-lit,High,60,Night,High
Clear,6.839,Highway,Daylight,High,40,Afternoon,Medium
Rain,5.112,Highway,Daylight,Low,40,Morning,Medium
Clear,6.859,Urban,Dawn/Dusk,Medium,40,Afternoon,Low
Clear,0.809,Urban,Daylight,Medium,40,Night,High
Clear,5.85,Highway,Night-lit,High,60,Afternoon,Medium
Fog,5.357,Rural,Night-unlit,Medium,50,Night,High
Rain,7.002,Rural,Dawn/Dusk,Very High,100,Evening,High
Drizzle,7.334,Highway,Daylight,Medium,80,Evening,Medium
Clear,2.38,Intersection,Daylight,Medium,40,Afternoon,Medium
Clear,8.52,Highway,Daylight,High,100,Afternoon,Medium
Clear,3.205,Urban,Night-lit,Medium,60,Morning,Medium
Drizzle,4.806,Urban,Daylight,High,60,Evening,Medium
Rain,5.607,Highway,Daylight,Medium,60,Evening,Medium
Clear,6.117,Intersection,Night-unlit,High,50,Night,High
Clear,4.862,Rural,Night-lit,Low,80,Afternoon,Medium
Drizzle,4.899,Intersection,Daylight,High,60,Afternoon,Medium
Rain,2.036,Highway,Daylight,Medium,100,Evening,High
Rain,3.216,Urban,Night-unlit,Low,60,Night,High
Drizzle,5.541,Urban,Daylight,Medium,50,Afternoon,Low
Fog,1.297,Highway,Night-lit,High,50,Night,High
Storm,1.995,Rural,Daylight,High,80,Night,High
Rain,8.328,Rural,Daylight,Medium,40,Night,Medium
Rain,5.169,Highway,Daylight,Medium,30,Evening,Medium
Clear,2.553,Urban,Night-unlit,Very High,40,Morning,Medium
Drizzle,8.271,Urban,Daylight,Medium,50,Afternoon,Medium
Clear,5.19,Highway,Night-lit,High,40,Evening,Medium
Clear,5.623,Intersection,Night-lit,Very High,50,Night,High
Storm,5.131,Intersection,Night-unlit,Medium,100,Morning,High
Rain,8.983,Intersection,Daylight,High,100,Morning,High
Rain,4.086,Rural,Daylight,Very High,80,Afternoon,High
Rain,4.66,Intersection,Daylight,Medium,80,Afternoon,High
Clear,0.458,Intersection,Night-unlit,High,100,Afternoon,High
Clear,4.7,Highway,Night-unlit,Medium,30,Afternoon,Medium
Drizzle,8.265,Intersection,Night-lit,High,40,Night,Medium
Clear,3.352,Highway,Dawn/Dusk,Medium,100,Evening,High
Rain,4.773,Highway,Night-lit,High,30,Evening,Medium
Drizzle,2.13,Urban,Night-lit,Medium,60,Evening,High
Clear,6.676,Urban,Night-lit,Very High,100,Afternoon,High
Drizzle,3.144,Urban,Night-unlit,Medium,30,Evening,Medium
Clear,3.216,Intersection,Night-lit,Medium,80,Night,High
Fog,5.512,Intersection,Night-lit,Medium,60,Morning,High
Fog,7.311,Intersection,Dawn/Dusk,Medium,80,Morning,High
Storm,2.741,Urban,Night-lit,Medium,40,Afternoon,High
Rain,6.646,Rural,Dawn/Dusk,High,60,Evening,Medium
Rain,8.898,Rural,Night-lit,Medium,60,Evening,Medium
Fog,6.593,Highway,Night-lit,Very High,60,Evening,High
Drizzle,9.342,Urban,Daylight,Low,50,Night,Medium
Clear,5.017,Highway,Night-lit,High,80,Morning,Medium
Drizzle,7.328,Highway,Dawn/Dusk,Very High,80,Evening,High
Clear,7.228,Rural,Night-lit,High,30,Night,Medium
Rain,3.939,Intersection,Night-unlit,Low,40,Afternoon,Medium
Drizzle,4.42,Highway,Night-lit,Medium,100,Night,High
Rain,0.4,Urban,Night-unlit,Medium,100,Evening,High
Clear,8.566,Urban,Night-unlit,Very High,60,Morning,High
Storm,5.195,Rural,Night-unlit,Medium,30,Night,High
Clear,3.434,Rural,Daylight,Very High,80,Afternoon,Medium
Rain,5.891,Intersection,Night-unlit,High,50,Afternoon,High
Rain,8.12,Urban,Night-unlit,Medium,80,Morning,High
Drizzle,7.84,Urban,Daylight,Medium,40,Evening,Medium
Rain,7.904,Urban,Daylight,High,80,Night,High
Fog,5.445,Rural,Daylight,Medium,60,Morning,Medium
Drizzle,7.812,Intersection,Night-unlit,Medium,30,Afternoon,Medium
Fog,2.725,Urban,Dawn/Dusk,Low,60,Afternoon,Medium
Drizzle,5.779,Intersection,Daylight,Low,60,Night,Medium
Drizzle,7.669,Highway,Night-unlit,Medium,60,Evening,High
Clear,1.318,Rural,Dawn/Dusk,Medium,80,Evening,High
Rain,8.609,Urban,Daylight,Very High,50,Evening,High
Drizzle,4.456,Intersection,Daylight,Medium,50,Afternoon,Medium
Drizzle,6.287,Rural,Daylight,High,60,Morning,Medium
Rain,6.81,Highway,Dawn/Dusk,High,100,Afternoon,High
Clear,4.326,Urban,Night-lit,Medium,50,Evening,Medium
Clear,8.31,Highway,Dawn/Dusk,Very High,30,Morning,Medium
Drizzle,4.328,Urban,Daylight,Very High,40,Night,Medium
Fog,5.967,Intersection,Dawn/Dusk,High,80,Afternoon,High
Drizzle,7.41,Intersection,Night-unlit,High,50,Night,High
Clear,3.72,Urban,Daylight,High,50,Morning,Medium
Drizzle,8.855,Intersection,Dawn/Dusk,Medium,50,Night,Medium
Drizzle,4.742,Intersection,Night-lit,Very High,30,Evening,Medium
Drizzle,7.607,Urban,Night-lit,Low,40,Night,Low
Rain,7.769,Intersection,Night-unlit,Very High,50,Night,High
Rain,5.583,Highway,Daylight,Medium,40,Morning,Medium
Clear,0.4,Urban,Daylight,Low,40,Evening,Medium
Clear,7.241,Rural,Night-lit,Low,40,Afternoon,Low
Rain,3.321,Urban,Night-unlit,High,80,Evening,High
Drizzle,8.92,Highway,Daylight,Very High,60,Evening,Medium
Drizzle,7.574,Urban,Dawn/Dusk,Low,60,Evening,Medium
Storm,4.911,Intersection,Night-lit,Very High,50,Afternoon,High
Clear,4.669,Urban,Daylight,Low,30,Morning,Low
Fog,3.644,Intersection,Night-unlit,Medium,80,Afternoon,High
Clear,4.516,Highway,Daylight,Medium,80,Morning,Medium
Clear,4.494,Rural,Daylight,Very High,60,Evening,Medium
Rain,4.809,Intersection,Daylight,Very High,60,Morning,High
Rain,5.402,Urban,Daylight,Low,100,Night,High
Drizzle,2.368,Urban,Daylight,Low,80,Afternoon,High
Clear,2.688,Highway,Night-unlit,Medium,80,Afternoon,High
Rain,5.372,Highway,Night-lit,Low,80,Evening,High
Rain,6.096,Intersection,Night-unlit,Very High,100,Afternoon,High
Rain,4.613,Highway,Night-unlit,High,50,Evening,High
Clear,7.583,Urban,Night-lit,Low,80,Evening,Medium
Storm,4.799,Intersection,Daylight,Medium,60,Evening,High
Clear,6.42,Urban,Daylight,High,60,Morning,Medium
Storm,4.422,Urban,Daylight,High,80,Evening,High
Clear,10.0,Urban,Night-unlit,High,50,Morning,Medium
Clear,5.935,Rural,Daylight,Medium,30,Night,Medium
Drizzle,5.14,Urban,Night-unlit,Medium,50,Morning,Medium
Rain,4.66,Highway,Daylight,Very High,60,Morning,High
Clear,6.545,Highway,Daylight,Medium,40,Night,Medium
Rain,3.15,Rural,Night-unlit,Low,80,Morning,High
Fog,5.189,Intersection,Daylight,Medium,30,Night,Medium
Fog,6.205,Rural,Night-unlit,Medium,80,Afternoon,High
Storm,6.325,Urban,Dawn/Dusk,Very High,100,Evening,High
Drizzle,5.929,Rural,Night-lit,High,60,Night,Medium
Clear,4.943,Rural,Night-lit,High,60,Night,High
Rain,1.498,Intersection,Night-lit,Very High,50,Night,High
Rain,1.472,Highway,Daylight,Low,40,Afternoon,Medium
Clear,5.77,Highway,Night-unlit,Very High,80,Evening,High
Drizzle,7.021,Highway,Night-lit,High,50,Night,High
Drizzle,6.775,Urban,Daylight,Very High,30,Evening,Medium
Clear,5.246,Highway,Dawn/Dusk,High,30,Evening,Medium
Rain,5.527,Urban,Daylight,Medium,100,Night,High
Fog,5.03,Rural,Night-lit,Low,60,Afternoon,Medium
Clear,5.251,Urban,Daylight,Medium,30,Morning,Low
Storm,3.983,Highway,Daylight,Medium,50,Morning,High
Clear,5.183,Highway,Daylight,High,50,Afternoon,Medium
Rain,8.129,Intersection,Daylight,High,40,Morning,Medium
Clear,5.025,Urban,Daylight,Medium,40,Morning,Low
Clear,6.658,Urban,Night-lit,Medium,80,Evening,Low
Clear,4.726,Urban,Night-lit,Medium,50,Morning,Medium
Storm,3.304,Urban,Night-lit,Low,40,Night,High
Rain,0.661,Urban,Daylight,Medium,60,Morning,High
Rain,3.937,Rural,Night-lit,Low,80,Night,High
Fog,8.978,Urban,Night-lit,High,40,Afternoon,High
Clear,5.503,Urban,Daylight,High,60,Morning,Medium
Storm,9.127,Urban,Night-lit,Medium,60,Evening,High
Clear,6.287,Intersection,Night-lit,High,30,Morning,Medium
Fog,5.763,Intersection,Daylight,Medium,30,Evening,Medium
Clear,6.834,Intersection,Night-unlit,High,50,Morning,Medium
Rain,5.479,Urban,Night-lit,Medium,40,Evening,Medium
Fog,3.419,Rural,Night-lit,Medium,60,Night,High
Rain,7.544,Urban,Night-lit,Medium,50,Afternoon,Medium
Clear,6.316,Urban,Dawn/Dusk,Medium,30,Morning,Low
Rain,3.176,Intersection,Daylight,High,40,Evening,High
Rain,6.332,Intersection,Dawn/Dusk,High,80,Morning,High
Rain,4.426,Urban,Night-lit,Medium,50,Night,Medium
Rain,4.525,Urban,Night-unlit,High,100,Evening,High
Rain,5.607,Urban,Dawn/Dusk,Medium,40,Afternoon,Medium
Clear,2.671,Urban,Night-lit,Very High,50,Afternoon,High
Clear,4.288,Highway,Night-lit,Medium,50,Morning,Medium
Clear,6.128,Highway,Dawn/Dusk,Low,80,Night,Medium
Drizzle,6.818,Urban,Daylight,Medium,30,Morning,Medium
Rain,4.919,Highway,Night-unlit,High,60,Evening,High
Clear,6.707,Rural,Daylight,Medium,50,Afternoon,Low
Clear,6.402,Urban,Night-lit,Medium,50,Night,Medium
Drizzle,3.955,Highway,Dawn/Dusk,High,50,Morning,Medium
Drizzle,5.404,Highway,Night-unlit,Low,100,Night,High
Rain,8.016,Highway,Night-lit,Medium,40,Night,Medium
Rain,5.593,Urban,Daylight,Medium,100,Morning,High
Rain,7.609,Highway,Dawn/Dusk,Low,80,Morning,High
Clear,4.902,Highway,Night-unlit,Low,40,Afternoon,Medium
Clear,2.964,Highway,Night-lit,Medium,60,Evening,High
Drizzle,5.175,Highway,Daylight,High,60,Night,Medium
Clear,3.417,Intersection,Daylight,Very High,100,Evening,High
Clear,2.278,Rural,Night-lit,Low,50,Morning,Medium
Rain,6.729,Rural,Night-unlit,Low,40,Afternoon,Medium
Clear,8.353,Intersection,Night-lit,High,50,Afternoon,Medium
Fog,10.0,Intersection,Dawn/Dusk,Medium,50,Night,High
Clear,7.158,Highway,Night-lit,Very High,40,Afternoon,Low
Drizzle,7.468,Urban,Daylight,Low,60,Evening,Medium
Clear,7.465,Highway,Night-lit,Medium,40,Morning,Medium
Rain,5.154,Urban,Daylight,Low,50,Night,Medium
Rain,3.41,Urban,Night-unlit,High,80,Evening,High
Clear,10.0,Intersection,Daylight,Medium,100,Afternoon,Medium
Drizzle,3.515,Urban,Daylight,Low,60,Morning,Medium
Rain,4.555,Urban,Night-unlit,Very High,50,Morning,High
Clear,3.308,Urban,Night-unlit,High,60,Night,High
Clear,8.914,Urban,Daylight,Medium,60,Night,Medium
Rain,4.603,Highway,Night-unlit,Low,60,Evening,Medium
Drizzle,8.311,Urban,Dawn/Dusk,Low,40,Afternoon,Low
Clear,5.147,Urban,Daylight,High,100,Evening,High
Clear,5.276,Intersection,Night-unlit,High,80,Morning,High
Drizzle,2.753,Urban,Daylight,Medium,40,Night,Medium
Clear,0.584,Urban,Night-lit,Very High,40,Night,High
Clear,6.096,Intersection,Night-lit,Low,100,Night,Medium
Clear,2.062,Urban,Daylight,Very High,80,Evening,High
Rain,5.632,Highway,Daylight,Medium,40,Afternoon,Medium
Rain,4.385,Highway,Daylight,Medium,60,Night,High
Clear,6.237,Urban,Night-unlit,High,40,Morning,Medium
Clear,9.537,Urban,Daylight,Very High,50,Evening,Medium
Rain,7.728,Highway,Dawn/Dusk,Medium,80,Evening,High
Rain,6.695,Urban,Dawn/Dusk,Medium,100,Evening,High
Fog,4.989,Intersection,Daylight,Very High,50,Evening,High
Rain,4.67,Intersection,Daylight,Very High,100,Afternoon,High
Drizzle,5.468,Highway,Daylight,Medium,40,Night,Medium
Rain,7.886,Urban,Dawn/Dusk,Low,50,Evening,Medium
Drizzle,5.93,Rural,Dawn/Dusk,Medium,50,Night,Medium
Rain,6.406,Highway,Night-lit,High,80,Evening,High
Clear,4.079,Rural,Daylight,High,40,Evening,Medium
Clear,6.177,Urban,Daylight,Medium,50,Morning,Low
